"Retour au menu ""Les films les plus diffusés à la télévision""";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Classement des films les plus diffusés sur les chaînes nationales gratuites depuis 1957;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;;;;;;;;;;;;;;;;;;;
MEN IN BLACK;SONNENFELD Barry;1997;ETATS UNIS;2024;38;23;1,7;;;;;;;;;;;;;;;;;;;
RRRRRRR;CHABAT Alain;2003;FRANCE;2024;38;26;2,2;;;;;;;;;;;;;;;;;;;
DIKKENEK;VAN HOOFSTADT Olivier;2005;FRANCE / BELGIQUE;2024;38;26;2,7;;;;;;;;;;;;;;;;;;;
MONDE PERDU JURASSIC PARK (LE);SPIELBERG Steven;1997;ETATS UNIS;2024;38;22;1,7;;;;;;;;;;;;;;;;;;;
PETIT BAIGNEUR (LE);DHERY Robert;1967;FRANCE;2024;37;21;0,8;;;;;;;;;;;;;;;;;;;
MUHAMMAD ALI THE GREATEST 1964 1974;KLEIN William;1974;FRANCE;2020;37;9;1,4;;;;;;;;;;;;;;;;;;;
VENGEANCE DU SERPENT A PLUMES (LA);OURY Gérard;1984;FRANCE;2024;37;24;1,0;;;;;;;;;;;;;;;;;;;
DIRTY DANCING;ARDOLINO Emile;1987;ETATS UNIS;2024;37;26;1,2;;;;;;;;;;;;;;;;;;;
TOUR MONTPARNASSE INFERNALE (LA);NEMES Charles;2000;FRANCE;2024;37;28;1,8;;;;;;;;;;;;;;;;;;;
REGRETS (LES);KAHN Cédric;2008;FRANCE;2024;37;1;3,1;;;;;;;;;;;;;;;;;;;
CACTUS (LE);BITTON Gerard;2005;FRANCE;2024;37;9;2,5;;;;;;;;;;;;;;;;;;;
CROISIERE (LA);POUZADOUX Pascale;2010;FRANCE;2024;36;24;4,0;;;;;;;;;;;;;;;;;;;
OURS (L');ANNAUD Jean-Jacques;1987;FRANCE;2024;36;23;1,1;;;;;;;;;;;;;;;;;;;
COUP DE TETE;ANNAUD Jean-Jacques;1978;FRANCE;2022;36;19;0,9;;;;;;;;;;;;;;;;;;;
MON NOM EST PERSONNE;VALERII Tonino;1973;ITALIE / FRANCE;2024;36;18;0,8;;;;;;;;;;;;;;;;;;;
AVENTURES DE ROBIN DES BOIS (LES);CURTIZ Michael;1938;ETATS UNIS;2024;36;8;0,7;;;;;;;;;;;;;;;;;;;
YAMAKASI, LES 7 SAMOURAI DES TEMPS MODERNES (LES);ZEITOUN Ariel;2000;FRANCE;2022;36;27;1,7;;;;;;;;;;;;;;;;;;;
MAITRE D ECOLE (LE);BERRI Claude;1981;FRANCE;2023;35;24;0,9;;;;;;;;;;;;;;;;;;;
PETIT MONDE DE DON CAMILLO (LE);DUVIVIER Julien;1951;ITALIE / FRANCE;2024;35;10;0,6;;;;;;;;;;;;;;;;;;;
RETOUR DU GRAND BLOND (LE);ROBERT Yves;1974;FRANCE;2024;35;19;0,8;;;;;;;;;;;;;;;;;;;
GHOSTBUSTERS SOS FANTOMES;REITMAN Ivan;1984;ETATS UNIS;2021;35;20;1,0;;;;;;;;;;;;;;;;;;;
CUISINE AU BEURRE (LA);GRANGIER Gilles;1963;FRANCE;2024;35;21;0,7;;;;;;;;;;;;;;;;;;;
ANGELIQUE MARQUISE DES ANGES;BORDERIE Bernard;1964;FRANCE / ALLEMAGNE;2024;35;19;0,7;;;;;;;;;;;;;;;;;;;
58 MINUTES POUR VIVRE;HARLIN Renny;1990;ETATS UNIS;2024;35;21;1,2;;;;;;;;;;;;;;;;;;;
CHASSEURS DE DRAGONS;HEMMEN François;2006;France / Luxembourg;2024;35;17;2,5;;;;;;;;;;;;;;;;;;;
UNE JOURNEE EN ENFER;MacTIERNAN John;1994;ETATS UNIS;2024;35;23;1,3;;;;;;;;;;;;;;;;;;;
